ra_L,dec_L,z_L,lam_L,ra_R,dec_R,z_R,lam_R,sep_rad,sep_hmpc
1.45652117529846,-35.6180518796753,0.5403342,57.668015,1.87708434363671,-36.7884360041482,0.53114516,26.21226,0.02126836851938781,29.840648791261607
1.34901022163277,-36.6587778941591,0.27342564,39.590874,3.95270619914274,-36.7678129958113,0.27488625,33.321075,0.03647738082463279,28.05611038603788
3.95270619914274,-36.7678129958113,0.27488625,33.321075,2.384470791342,-36.0454849594001,0.2810216,30.529417,0.025380606242557908,19.772377543861616
3.95270619914274,-36.7678129958113,0.27488625,33.321075,1.8291302353148,-35.2610622545444,0.28476626,31.658285,0.039876918438097465,31.259827580800952
2.17879291511655,-35.0999304728218,0.279005,36.84498,3.95270619914274,-36.7678129958113,0.27488625,33.321075,0.03841484942233319,29.82567474392782
3.95270619914274,-36.7678129958113,0.27488625,33.321075,5.84568440328655,-37.8500553047924,0.27304775,20.217054,0.032361269783182545,24.874305371368575
2.384470791342,-36.0454849594001,0.2810216,30.529417,4.26180209252885,-36.6037458871373,0.28501362,22.017141,0.02813849119441545,22.291277389140195
2.3516552171477,-35.2982659862851,0.28946704,26.730928,4.26180209252885,-36.6037458871373,0.28501362,22.017141,0.03531858602522484,28.36607003457052
2.17879291511655,-35.0999304728218,0.279005,36.84498,4.26180209252885,-36.6037458871373,0.28501362,22.017141,0.03945934215729344,31.156357429777575
6.06962443747563,-35.8669948877255,0.29498774,33.275314,4.26180209252885,-36.6037458871373,0.28501362,22.017141,0.028513344750280202,23.104172808751642
4.43730186442641,-37.4953914255131,0.6443931,31.18538,3.76062484124754,-36.3831926520388,0.63448393,22.886675,0.02158484950233367,35.15302751041447
4.39569003115165,-35.1832626528411,0.107591465,100.85485,0.677977841741624,-34.6598833894668,0.11631098,36.43309,0.05397768961608606,17.650103504761955
4.39569003115165,-35.1832626528411,0.107591465,100.85485,4.66196620545284,-30.5591815345891,0.11272304,20.095015,0.08079966163145849,26.008502382132832
3.82433839702447,-35.2318226261611,0.41212952,36.31105,2.24129299785919,-36.1716112601641,0.41107187,27.310617,0.027792300150729213,30.96526291687766
2.12429072565285,-35.8919799266841,0.40817142,83.02178,3.82433839702447,-35.2318226261611,0.41212952,36.31105,0.026745748854680968,29.70560031992378
